年份,子赛事,学校,队伍名称,OS,查重分支,终选repo,初赛fork版,初赛fork版访问情况,源地址,源地址访问情况,决赛fork版,决赛fork版访问情况,备注
2026,内核实现赛道,武汉大学,NexusCore,,echo,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610486999578-700,可访问,https://gitlab.eduxiji.net/T202610486999578/oskernel2026-nexuscore,,,,
2026,内核实现赛道,武汉大学,最后一次入门RUST,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610486999642-1278,可访问,https://gitlab.eduxiji.net/T202610486999642/oskernel2026-whusp,,,,
2026,内核实现赛道,武汉大学,系统不宕机队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610486999648-1756,可访问,https://gitlab.eduxiji.net/T202610486999648/oskernel_neverdown,,,,
2026,内核实现赛道,武汉大学,Eureka,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610486999743-2315,可访问,https://gitlab.eduxiji.net/T202610486999743/oskernel2026-eureka,,,,
2026,内核实现赛道,武汉大学,AAAAAAAAAAAAAAAAAAAA,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610486999803-20,可访问,https://gitlab.eduxiji.net/T202610486999803/oskernel2025-a20,,,,
2026,内核实现赛道,武汉大学,alREADy,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610486999845-779,可访问,,,,,
2026,内核实现赛道,武汉大学,我依旧是世一队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610486999873-1237,可访问,https://gitlab.eduxiji.net/T202610486999873/oskernel2026test,,,,
2026,内核实现赛道,华中科技大学,名字取什么才好,,final2,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104879910361-2728,可访问,https://gitlab.eduxiji.net/T202510487998052/oskernel2025-x,,,,
2026,内核实现赛道,华中科技大学,维塔立体,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104879910415-3331,可访问,https://gitlab.eduxiji.net/T2026104879910415/oskernel2026-vitos,,,,
2026,内核实现赛道,华南理工大学,yay2yo,,release,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610561999567-1105,可访问,https://gitlab.eduxiji.net/T202610561999567/oskernel2026-ya2yos,,,,
2026,内核实现赛道,华南师范大学,12345,,main1,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026105749910208-1758,可访问,https://gitlab.eduxiji.net/T2026105749910208/wll_os,,,,
2026,内核实现赛道,电子科技大学,404Notfound,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610614999585-464,可访问,https://gitlab.eduxiji.net/T202610614999585/T202510003996120-1441,,,,
2026,内核实现赛道,重庆邮电大学,每天睡满八小时,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610617999569-509,可访问,https://gitlab.eduxiji.net/T202610617999569/moss,,,,
2026,内核实现赛道,西北工业大学,NPUcore-Ovo,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610699999765-256,可访问,https://gitlab.eduxiji.net/T202610699999765/oskernel2026-ovo,,,,
2026,内核实现赛道,西安电子科技大学,NameNotFound,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610701999762-1012,可访问,https://gitlab.eduxiji.net/T202610701999762/oskernel2026-namenotfound,,,,
2026,内核实现赛道,兰州大学,ebendun,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026107309910746-152,可访问,https://gitlab.eduxiji.net/T2026107309910746/oskernel2026-ebendun,,,,
2026,内核实现赛道,烟台南山学院,这行代码有问题,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202612332999758-1958,可访问,,,,,
2026,内核实现赛道,哈尔滨工业大学（深圳）,ヰ世界电子开发部,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026181239910972-3268,可访问,https://gitlab.eduxiji.net/T2026181239910972/anemone,,,,
2026,内核实现赛道,哈尔滨工业大学（深圳）,老被炸,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026181239910991-797,可访问,https://gitlab.eduxiji.net/T2026181239910991/oskernel-2025x,,,,
2026,内核实现赛道,哈尔滨工业大学（深圳）,Unicus,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026181239910993-1468,可访问,https://gitlab.eduxiji.net/T2026181239910993/oskernel2026-unicus-hitsz,,,,
